Blooket Import Template,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,
1,What is the correct formula for a confidence interval for slope β?,b ± z*(SE_b),b ± t*(SE_b),β ± t*(SE_b),,30,2,,,,,,,,,,,,,,,
2,Degrees of freedom for t-distribution in slope CI comes from:,n-1,n-2,Sample size,,30,2,,,,,,,,,,,,,,,
3,What does SE_b represent?,Variability of x-values,Standard error of slope estimate,Residual standard deviation,,30,2,,,,,,,,,,,,,,,
4,"For 95% CI with 23 df, the critical t* is:",1.714,2.069,2.797,,30,2,,,,,,,,,,,,,,,
5,Which values are needed to calculate SE_b?,"s, s_x, n","r, s_y, n","β, σ, n",,30,1,,,,,,,,,,,,,,,
6,"A 95% CI of (-0.55, 16.13) for slope suggests:",Positive relationship significant,No significant relationship,Negative relationship,,30,2,,,,,,,,,,,,,,,
7,Wider intervals result from:,Larger sample size,Higher confidence level,Smaller residual SD,,30,2,,,,,,,,,,,,,,,
8,What does s represent in SE_b formula?,SD of x-values,SD of residuals,SD of slope,,30,2,,,,,,,,,,,,,,,
9,What three conditions must be met for valid confidence intervals in linear regression?,"Linear relationship, constant variance, normal residuals","Random sample, large population, independent observations","Curved relationship, increasing variance, skewed residuals",,30,1,,,,,,,,,,,,,,,
10,Which graphical tool best verifies the linearity condition?,Scatterplot of raw data,Residual plot,Histogram of x-values,,30,2,,,,,,,,,,,,,,,
11,"In the Old Faithful example, what indicated constant variance?",Similar residual spread across duration values,Normal distribution of eruption times,High R-squared value,,30,1,,,,,,,,,,,,,,,
12,The sampling distribution of the slope (b) is centered at:,The sample slope,The population slope (β),Always zero,,30,2,,,,,,,,,,,,,,,
13,Which formula calculates the SD of the slope's sampling distribution?,σ/(σₓ√n),σₓ/(σ√n),√(σ² + σₓ²)/n,,30,1,,,,,,,,,,,,,,,
14,What indicates normality of residuals?,Bell-shaped residual histogram,Straight line in scatterplot,Small p-value,,30,1,,,,,,,,,,,,,,,
15,Why check sample size ≤10% population?,Ensure independent observations,Increase confidence level,Validate linear relationship,,30,1,,,,,,,,,,,,,,,
16,"In 2019 analysis, what's unknown compared to 1995?",Population σ and σₓ,Sample regression equation,Residual distribution shape,,30,1,,,,,,,,,,,,,,,
17,Which procedure is used to construct a confidence interval for the slope of a population regression line?,z-interval for proportions,t-interval for the slope,chi-square interval for variance,bootstrap interval,30,2,,,,,,,,,,,,,,,
18,What graphical evidence best verifies the linearity condition?,Scatterplot showing random scatter,Residual plot with curved pattern,Histogram of residuals,Scatterplot following a straight-line pattern,30,4,,,,,,,,,,,,,,,
19,"To check constant variance condition, analysts should:",Verify residuals have consistent spread across x-values,Ensure sample size > 30,Check normal probability plot alignment,Calculate correlation coefficient,30,1,,,,,,,,,,,,,,,
20,What replaces σ (population SD) in the standard error formula?,Sample SD of x (s_x),Residual standard error (s),Mean squared error,Standard error of the slope,30,2,,,,,,,,,,,,,,,
21,The independence condition requires:,Random sampling AND n ≤ 10% population,Normal distribution of residuals,Strong correlation coefficient,Equal x-value spacing,30,1,,,,,,,,,,,,,,,
22,Which component appears in both numerator and denominator of the slope's standard error formula?,Sample size (n),Residual standard error (s),Sample SD of x (s_x),Confidence level t*,30,3,,,,,,,,,,,,,,,
23,A valid normality check for small samples requires:,Perfectly symmetric residuals,No outliers in scatterplot,Randomization verification,Nearly normal residuals with n < 30,30,4,,,,,,,,,,,,,,,
24,What is the correct formula for a confidence interval for slope β?,b ± z(SE_b),b ± t(SE_b),β ± t(SE_b),,30,2,,,,,,,,,,,,,,,
25,Degrees of freedom for t-distribution in slope CI comes from:,n-1,n-2,Sample size,,30,2,,,,,,,,,,,,,,,
26,What does SE_b represent?,Variability of x-values,Standard error of slope estimate,Residual standard deviation,,30,2,,,,,,,,,,,,,,,
27,"For 95% CI with 23 df, the critical t is:",1.714,2.069,2.797,,30,2,,,,,,,,,,,,,,,
28,Which values are needed to calculate SE_b?,"s, s_x, n","r, s_y, n","β, σ, n",,30,1,,,,,,,,,,,,,,,
29,"A 95% CI of (-0.55, 16.13) for slope suggests:",Positive relationship significant,No significant relationship,Negative relationship,,30,2,,,,,,,,,,,,,,,
30,Wider intervals result from:,Larger sample size,Higher confidence level,Smaller residual SD,,30,2,,,,,,,,,,,,,,,
31,What does s represent in SE_b formula?,SD of x-values,SD of residuals,SD of slope,,30,2,,,,,,,,,,,,,,,
